sentence1	sentence2	heuristic	gold_label	data	
De tiener plukt 	De gekleurde tiener plukt 	NEUTRAL	contradiction	TEST
De autocoureur perst 	De getalenteerde autocoureur perst 	NEUTRAL	contradiction	TEST
De motorcrossrijder danst 	De geverfde motorcrossrijder danst 	NEUTRAL	contradiction	TEST
De ruiter plukt 	De begroeide ruiter plukt 	NEUTRAL	contradiction	TEST
De gamer plukt 	De onbeschermde gamer plukt 	NEUTRAL	contradiction	TEST
De tovenaar danst 	De gekleurde tovenaar danst 	NEUTRAL	contradiction	TRAIN
De goochelaar blies 	De onbeschermde goochelaar blies 	NEUTRAL	contradiction	TRAIL
De goochelaar perst 	De geverfde goochelaar perst 	NEUTRAL	contradiction	TRAIL
De ruiter plukt 	De gelakte ruiter plukt 	NEUTRAL	contradiction	TEST
De autocoureur perst 	De gestreepte autocoureur perst 	NEUTRAL	contradiction	TEST
De motorracer plukt 	De gelakte motorracer plukt 	NEUTRAL	contradiction	TEST
De ruiter plukt 	De onbeschermde ruiter plukt 	NEUTRAL	contradiction	TEST
De zanger plukt 	De begroeide zanger plukt 	NEUTRAL	contradiction	TEST
De ruiter blies 	De gekleurde ruiter blies 	NEUTRAL	contradiction	TEST
De goochelaar laadt 	De geverfde goochelaar laadt 	NEUTRAL	contradiction	TRAIN
De interviewer blies 	De geverfde interviewer blies 	NEUTRAL	contradiction	TEST
De bruid perst 	De getalenteerde bruid perst 	NEUTRAL	contradiction	TEST
De ruiter laadt 	De gelakte ruiter laadt 	NEUTRAL	contradiction	TEST
De motorcrossrijder laadt 	De gekleurde motorcrossrijder laadt 	NEUTRAL	contradiction	TEST
De gamer perst 	De getalenteerde gamer perst 	NEUTRAL	contradiction	TRAIN
De tovenaar laadt 	De gekleurde tovenaar laadt 	NEUTRAL	contradiction	TEST
De zanger perst 	De begroeide zanger perst 	NEUTRAL	contradiction	TEST
De ruiter perst 	De getalenteerde ruiter perst 	NEUTRAL	contradiction	TEST
De motorcrossrijder danst 	De gelakte motorcrossrijder danst 	NEUTRAL	contradiction	TEST
De motorcrossrijder laadt 	De getalenteerde motorcrossrijder laadt 	NEUTRAL	contradiction	TEST
De priester danst 	De begroeide priester danst 	NEUTRAL	contradiction	TEST
De autocoureur blies 	De onbeschermde autocoureur blies 	NEUTRAL	contradiction	TEST
De motorcrossrijder laadt 	De begroeide motorcrossrijder laadt 	NEUTRAL	contradiction	TEST
De gamer plukt 	De geverfde gamer plukt 	NEUTRAL	contradiction	TEST
De motorcrossrijder perst 	De onbeschermde motorcrossrijder perst 	NEUTRAL	contradiction	TEST
De autocoureur laadt 	De getalenteerde autocoureur laadt 	NEUTRAL	contradiction	TEST
De goochelaar blies 	De gekleurde goochelaar blies 	NEUTRAL	contradiction	TEST
De ruiter danst 	De getalenteerde ruiter danst 	NEUTRAL	contradiction	TEST
De tiener laadt 	De gestreepte tiener laadt 	NEUTRAL	contradiction	TEST
De gamer danst 	De geverfde gamer danst 	NEUTRAL	contradiction	TEST
De bruid danst 	De gekleurde bruid danst 	NEUTRAL	contradiction	TEST
De tovenaar plukt 	De getalenteerde tovenaar plukt 	NEUTRAL	contradiction	TEST
De ruiter plukt 	De geverfde ruiter plukt 	NEUTRAL	contradiction	TEST
De autocoureur laadt 	De gekleurde autocoureur laadt 	NEUTRAL	contradiction	TEST
De tiener danst 	De gekleurde tiener danst 	NEUTRAL	contradiction	TEST
De ruiter laadt 	De gekleurde ruiter laadt 	NEUTRAL	contradiction	TEST
De motorcrossrijder blies 	De begroeide motorcrossrijder blies 	NEUTRAL	contradiction	TEST
De tiener blies 	De begroeide tiener blies 	NEUTRAL	contradiction	TEST
De ruiter perst 	De begroeide ruiter perst 	NEUTRAL	contradiction	TEST
De gamer danst 	De getalenteerde gamer danst 	NEUTRAL	contradiction	TEST
De autocoureur plukt 	De gestreepte autocoureur plukt 	NEUTRAL	contradiction	TEST
De priester perst 	De onbeschermde priester perst 	NEUTRAL	contradiction	TEST
De tovenaar perst 	De geverfde tovenaar perst 	NEUTRAL	contradiction	TEST
De motorracer plukt 	De getalenteerde motorracer plukt 	NEUTRAL	contradiction	TEST
De bruid perst 	De gelakte bruid perst 	NEUTRAL	contradiction	TEST
De bruid blies 	De begroeide bruid blies 	NEUTRAL	contradiction	TEST
De goochelaar perst 	De gekleurde goochelaar perst 	NEUTRAL	contradiction	TEST
De interviewer perst 	De onbeschermde interviewer perst 	NEUTRAL	contradiction	TEST
De autocoureur plukt 	De getalenteerde autocoureur plukt 	NEUTRAL	contradiction	TEST
De bruid danst 	De getalenteerde bruid danst 	NEUTRAL	contradiction	TEST
De ruiter perst 	De gekleurde ruiter perst 	NEUTRAL	contradiction	TEST
De motorcrossrijder perst 	De geverfde motorcrossrijder perst 	NEUTRAL	contradiction	TEST
De priester laadt 	De geverfde priester laadt 	NEUTRAL	contradiction	TEST
De gamer plukt 	De begroeide gamer plukt 	NEUTRAL	contradiction	TEST
De gamer plukt 	De getalenteerde gamer plukt 	NEUTRAL	contradiction	TEST
De motorracer danst 	De gekleurde motorracer danst 	NEUTRAL	contradiction	TEST
De tiener blies 	De geverfde tiener blies 	NEUTRAL	contradiction	TEST
De gamer laadt 	De geverfde gamer laadt 	NEUTRAL	contradiction	TEST
De ruiter danst 	De gelakte ruiter danst 	NEUTRAL	contradiction	TRAIN
De tovenaar blies 	De gestreepte tovenaar blies 	NEUTRAL	contradiction	TRAIN
De ruiter blies 	De begroeide ruiter blies 	NEUTRAL	contradiction	TRAIL
De goochelaar danst 	De gestreepte goochelaar danst 	NEUTRAL	contradiction	TEST
De motorracer perst 	De gekleurde motorracer perst 	NEUTRAL	contradiction	TEST
De motorracer perst 	De onbeschermde motorracer perst 	NEUTRAL	contradiction	TRAIL
De zanger blies 	De getalenteerde zanger blies 	NEUTRAL	contradiction	TEST
De tiener perst 	De begroeide tiener perst 	NEUTRAL	contradiction	TEST
De tovenaar laadt 	De geverfde tovenaar laadt 	NEUTRAL	contradiction	TEST
De tovenaar blies 	De geverfde tovenaar blies 	NEUTRAL	contradiction	TEST
De tovenaar laadt 	De getalenteerde tovenaar laadt 	NEUTRAL	contradiction	TEST
De interviewer perst 	De begroeide interviewer perst 	NEUTRAL	contradiction	TEST
De priester blies 	De gelakte priester blies 	NEUTRAL	contradiction	TEST
De interviewer blies 	De gelakte interviewer blies 	NEUTRAL	contradiction	TEST
De interviewer danst 	De getalenteerde interviewer danst 	NEUTRAL	contradiction	TEST
De autocoureur perst 	De begroeide autocoureur perst 	NEUTRAL	contradiction	TRAIL
De gamer blies 	De gestreepte gamer blies 	NEUTRAL	contradiction	TEST
De bruid laadt 	De getalenteerde bruid laadt 	NEUTRAL	contradiction	TRAIN
De bruid laadt 	De geverfde bruid laadt 	NEUTRAL	contradiction	TEST
De interviewer danst 	De gestreepte interviewer danst 	NEUTRAL	contradiction	TEST
De bruid plukt 	De geverfde bruid plukt 	NEUTRAL	contradiction	TEST
De tovenaar perst 	De begroeide tovenaar perst 	NEUTRAL	contradiction	TRAIN
De zanger perst 	De onbeschermde zanger perst 	NEUTRAL	contradiction	TEST
De tiener laadt 	De begroeide tiener laadt 	NEUTRAL	contradiction	TEST
De zanger blies 	De begroeide zanger blies 	NEUTRAL	contradiction	TEST
De motorracer danst 	De begroeide motorracer danst 	NEUTRAL	contradiction	TEST
De zanger danst 	De gestreepte zanger danst 	NEUTRAL	contradiction	TEST
De zanger laadt 	De getalenteerde zanger laadt 	NEUTRAL	contradiction	TEST
De bruid danst 	De onbeschermde bruid danst 	NEUTRAL	contradiction	TEST
De autocoureur plukt 	De begroeide autocoureur plukt 	NEUTRAL	contradiction	TEST
De motorcrossrijder danst 	De gestreepte motorcrossrijder danst 	NEUTRAL	contradiction	TRAIL
De motorracer danst 	De getalenteerde motorracer danst 	NEUTRAL	contradiction	TEST
De goochelaar plukt 	De onbeschermde goochelaar plukt 	NEUTRAL	contradiction	TEST
De tovenaar perst 	De gelakte tovenaar perst 	NEUTRAL	contradiction	TEST
De motorracer laadt 	De getalenteerde motorracer laadt 	NEUTRAL	contradiction	TEST
De motorracer danst 	De gelakte motorracer danst 	NEUTRAL	contradiction	TRAIN
De getalenteerde fietsers studeren niet 	De getalenteerde fietsers schoppen 	NEUTRAL	contradiction	TEST
De gelakte fotografen grazen niet 	De gelakte fotografen verlaten 	NEUTRAL	contradiction	TRAIN
De getalenteerde fotografen zwemmen niet 	De getalenteerde fotografen knuffelen 	NEUTRAL	contradiction	TEST
De begroeide boa's telefoneren niet 	De begroeide boa's dragen 	NEUTRAL	contradiction	TRAIN
De onbeschermde dochters zwemmen niet 	De onbeschermde dochters verlaten 	NEUTRAL	contradiction	TRAIN
De gelakte jongvolwassenen tekenen niet 	De gelakte jongvolwassenen telefoneren 	NEUTRAL	contradiction	TEST
De getalenteerde mimespelers duelleren niet 	De getalenteerde mimespelers borstelen 	NEUTRAL	contradiction	TEST
De gestreepte mimespelers zwemmen niet 	De gestreepte mimespelers vangen 	NEUTRAL	contradiction	TRAIN
De getalenteerde spelers tekenen niet 	De getalenteerde spelers verpletteren 	NEUTRAL	contradiction	TRAIN
De getalenteerde motorrijders leren niet 	De getalenteerde motorrijders breken 	NEUTRAL	contradiction	TEST
De begroeide jongvolwassenen voeren niet 	De begroeide jongvolwassenen ontwijken 	NEUTRAL	contradiction	TEST
De getalenteerde vrouwen knuffelen niet 	De getalenteerde vrouwen knuffelen 	NEUTRAL	contradiction	TRAIN
De getalenteerde soldaten grazen niet 	De getalenteerde soldaten schoppen 	NEUTRAL	contradiction	TRAIL
De getalenteerde hardlopers studeren niet 	De getalenteerde hardlopers breken 	NEUTRAL	contradiction	TEST
De begroeide mimespelers verpletteren niet 	De begroeide mimespelers trekken 	NEUTRAL	contradiction	TEST
De begroeide soldaten voeren niet 	De begroeide soldaten voeren 	NEUTRAL	contradiction	TRAIL
De gelakte klimmers stillen niet 	De gelakte klimmers trouwen 	NEUTRAL	contradiction	TEST
De gelakte jongvolwassenen leren niet 	De gelakte jongvolwassenen voeren 	NEUTRAL	contradiction	TEST
De gekleurde mimespelers zwemmen niet 	De gekleurde mimespelers snuffelen 	NEUTRAL	contradiction	TEST
De getalenteerde fotografen voeren niet 	De getalenteerde fotografen zagen 	NEUTRAL	contradiction	TEST
De gestreepte dochters trekken niet 	De gestreepte dochters duelleren 	NEUTRAL	contradiction	TEST
De onbeschermde leerlingen knuffelen niet 	De onbeschermde leerlingen telefoneren 	NEUTRAL	contradiction	TEST
De begroeide klimmers borstelen niet 	De begroeide klimmers knuffelen 	NEUTRAL	contradiction	TEST
De gekleurde motorrijders zagen niet 	De gekleurde motorrijders trouwen 	NEUTRAL	contradiction	TEST
De gelakte fietsers verlaten niet 	De gelakte fietsers worstelen 	NEUTRAL	contradiction	TRAIL
De gekleurde soldaten studeren niet 	De gekleurde soldaten verpletteren 	NEUTRAL	contradiction	TRAIL
De begroeide vrouwen dragen niet 	De begroeide vrouwen duelleren 	NEUTRAL	contradiction	TEST
De geverfde klimmers studeren niet 	De geverfde klimmers breken 	NEUTRAL	contradiction	TEST
De geverfde motorrijders verpletteren niet 	De geverfde motorrijders dragen 	NEUTRAL	contradiction	TEST
De gestreepte motorrijders zagen niet 	De gestreepte motorrijders voeren 	NEUTRAL	contradiction	TEST
De begroeide mannen zagen niet 	De begroeide mannen vangen 	NEUTRAL	contradiction	TEST
De gekleurde fietsers dragen niet 	De gekleurde fietsers breken 	NEUTRAL	contradiction	TRAIN
De getalenteerde fotografen telefoneren niet 	De getalenteerde fotografen tekenen 	NEUTRAL	contradiction	TEST
De geverfde boa's zwemmen niet 	De geverfde boa's duelleren 	NEUTRAL	contradiction	TEST
De gekleurde studenten verlaten niet 	De gekleurde studenten telefoneren 	NEUTRAL	contradiction	TRAIL
De gestreepte boa's tekenen niet 	De gestreepte boa's trouwen 	NEUTRAL	contradiction	TEST
De gelakte jongvolwassenen trekken niet 	De gelakte jongvolwassenen duelleren 	NEUTRAL	contradiction	TEST
De geverfde fietsers trouwen niet 	De geverfde fietsers gooien 	NEUTRAL	contradiction	TEST
De begroeide jongens schoppen niet 	De begroeide jongens duelleren 	NEUTRAL	contradiction	TRAIN
De getalenteerde fietsers stillen niet 	De getalenteerde fietsers telefoneren 	NEUTRAL	contradiction	TRAIL
De begroeide fotografen tekenen niet 	De begroeide fotografen telefoneren 	NEUTRAL	contradiction	TEST
De begroeide fotografen zagen niet 	De begroeide fotografen dragen 	NEUTRAL	contradiction	TRAIL
De onbeschermde boa's breken niet 	De onbeschermde boa's zagen 	NEUTRAL	contradiction	TEST
De begroeide boa's telefoneren niet 	De begroeide boa's vangen 	NEUTRAL	contradiction	TRAIL
De getalenteerde fotografen snuffelen niet 	De getalenteerde fotografen tekenen 	NEUTRAL	contradiction	TEST
De geverfde mimespelers grazen niet 	De geverfde mimespelers trekken 	NEUTRAL	contradiction	TRAIN
De gestreepte spelers redden niet 	De gestreepte spelers schoppen 	NEUTRAL	contradiction	TEST
De gestreepte klimmers grazen niet 	De gestreepte klimmers redden 	NEUTRAL	contradiction	TEST
De begroeide motorrijders zagen niet 	De begroeide motorrijders telefoneren 	NEUTRAL	contradiction	TRAIL
De geverfde studenten grazen niet 	De geverfde studenten studeren 	NEUTRAL	contradiction	TRAIL
De begroeide klimmers knuffelen niet 	De begroeide klimmers verlaten 	NEUTRAL	contradiction	TEST
De gestreepte motorrijders trouwen niet 	De gestreepte motorrijders breken 	NEUTRAL	contradiction	TEST
De onbeschermde fietsers tekenen niet 	De onbeschermde fietsers zagen 	NEUTRAL	contradiction	TEST
De gekleurde klimmers zwemmen niet 	De gekleurde klimmers tekenen 	NEUTRAL	contradiction	TRAIL
De onbeschermde fietsers verpletteren niet 	De onbeschermde fietsers vangen 	NEUTRAL	contradiction	TEST
De geverfde mimespelers verpletteren niet 	De geverfde mimespelers trekken 	NEUTRAL	contradiction	TEST
De gekleurde motorrijders leren niet 	De gekleurde motorrijders duelleren 	NEUTRAL	contradiction	TEST
De getalenteerde jongvolwassenen voeren niet 	De getalenteerde jongvolwassenen worstelen 	NEUTRAL	contradiction	TEST
De begroeide mannen telefoneren niet 	De begroeide mannen voeren 	NEUTRAL	contradiction	TEST
De gelakte spelers borstelen niet 	De gelakte spelers voeren 	NEUTRAL	contradiction	TEST
De gelakte soldaten studeren niet 	De gelakte soldaten gooien 	NEUTRAL	contradiction	TEST
De begroeide studenten stillen niet 	De begroeide studenten studeren 	NEUTRAL	contradiction	TEST
De geverfde hardlopers zwemmen niet 	De geverfde hardlopers leren 	NEUTRAL	contradiction	TEST
De onbeschermde jongens werken niet 	De onbeschermde jongens snuffelen 	NEUTRAL	contradiction	TEST
De gekleurde hardlopers worstelen niet 	De gekleurde hardlopers breken 	NEUTRAL	contradiction	TEST
De gelakte studenten leren niet 	De gelakte studenten duelleren 	NEUTRAL	contradiction	TEST
De gestreepte spelers stillen niet 	De gestreepte spelers tekenen 	NEUTRAL	contradiction	TRAIL
De gestreepte vrouwen telefoneren niet 	De gestreepte vrouwen trouwen 	NEUTRAL	contradiction	TEST
De onbeschermde soldaten stillen niet 	De onbeschermde soldaten snuffelen 	NEUTRAL	contradiction	TEST
De gelakte klimmers telefoneren niet 	De gelakte klimmers knuffelen 	NEUTRAL	contradiction	TRAIL
De gekleurde fietsers verlaten niet 	De gekleurde fietsers schoppen 	NEUTRAL	contradiction	TEST
De begroeide vrouwen verpletteren niet 	De begroeide vrouwen gooien 	NEUTRAL	contradiction	TEST
De gestreepte studenten vangen niet 	De gestreepte studenten telefoneren 	NEUTRAL	contradiction	TEST
De begroeide vrouwen ontwijken niet 	De begroeide vrouwen voeren 	NEUTRAL	contradiction	TEST
De geverfde klimmers verpletteren niet 	De geverfde klimmers leren 	NEUTRAL	contradiction	TRAIN
De gelakte mimespelers ontwijken niet 	De gelakte mimespelers breken 	NEUTRAL	contradiction	TEST
De getalenteerde dochters telefoneren niet 	De getalenteerde dochters gooien 	NEUTRAL	contradiction	TRAIL
De gestreepte mimespelers studeren niet 	De gestreepte mimespelers redden 	NEUTRAL	contradiction	TEST
De getalenteerde vrouwen zagen niet 	De getalenteerde vrouwen verpletteren 	NEUTRAL	contradiction	TEST
De gekleurde hardlopers vangen niet 	De gekleurde hardlopers leren 	NEUTRAL	contradiction	TEST
De gelakte fietsers trekken niet 	De gelakte fietsers zagen 	NEUTRAL	contradiction	TEST
De gestreepte spelers trouwen niet 	De gestreepte spelers snuffelen 	NEUTRAL	contradiction	TEST
De getalenteerde leerlingen zagen niet 	De getalenteerde leerlingen duelleren 	NEUTRAL	contradiction	TRAIN
De begroeide spelers verlaten niet 	De begroeide spelers telefoneren 	NEUTRAL	contradiction	TEST
De geverfde fietsers duelleren niet 	De geverfde fietsers voeren 	NEUTRAL	contradiction	TEST
De gelakte boa's trouwen niet 	De gelakte boa's snuffelen 	NEUTRAL	contradiction	TEST
De geverfde leerlingen leren niet 	De geverfde leerlingen redden 	NEUTRAL	contradiction	TEST
De geverfde studenten leren niet 	De geverfde studenten dragen 	NEUTRAL	contradiction	TEST
De onbeschermde fietsers verlaten niet 	De onbeschermde fietsers dragen 	NEUTRAL	contradiction	TEST
De gelakte klimmers trouwen niet 	De gelakte klimmers zagen 	NEUTRAL	contradiction	TEST
De getalenteerde jongens tekenen niet 	De getalenteerde jongens zagen 	NEUTRAL	contradiction	TRAIL
De gestreepte jongvolwassenen tekenen niet 	De gestreepte jongvolwassenen studeren 	NEUTRAL	contradiction	TEST
De gekleurde boa's duelleren niet 	De gekleurde boa's redden 	NEUTRAL	contradiction	TRAIL
De onbeschermde fietsers stillen niet 	De onbeschermde fietsers tekenen 	NEUTRAL	contradiction	TEST
De getalenteerde jongvolwassenen trekken niet 	De getalenteerde jongvolwassenen snuffelen 	NEUTRAL	contradiction	TEST
De gekleurde mimespelers zagen niet 	De gekleurde mimespelers duelleren 	NEUTRAL	contradiction	TRAIL
De geverfde dochters verpletteren niet 	De geverfde dochters verlaten 	NEUTRAL	contradiction	TEST
De getalenteerde spelers ontwijken niet 	De getalenteerde spelers borstelen 	NEUTRAL	contradiction	TEST
De begroeide hardlopers werken niet 	De begroeide hardlopers dragen 	NEUTRAL	contradiction	TEST
De onbeschermde jongvolwassenen verpletteren niet 	De onbeschermde jongvolwassenen voeren 	NEUTRAL	contradiction	TEST
Geen fotografen voeren naast de jongens 	De jongens voeren naast de fotografen 	NEUTRAL	contradiction	TEST
Geen hardlopers telefoneren voor de jongens 	De jongens telefoneren voor de hardlopers 	NEUTRAL	contradiction	TEST
Geen studenten schoppen achter de jongens 	De jongens schoppen achter de studenten 	NEUTRAL	contradiction	TEST
Geen klimmers knuffelen dichtbij de spelers 	De spelers knuffelen dichtbij de klimmers 	NEUTRAL	contradiction	TEST
Geen studenten vangen voor de hardlopers 	De hardlopers vangen voor de studenten 	NEUTRAL	contradiction	TRAIL
Geen klimmers knuffelen achter de dochters 	De dochters knuffelen achter de klimmers 	NEUTRAL	contradiction	TEST
Geen vrouwen redden naast de jongens 	De jongens redden naast de vrouwen 	NEUTRAL	contradiction	TEST
Geen fietsers zagen dichtbij de fotografen 	De fotografen zagen dichtbij de fietsers 	NEUTRAL	contradiction	TEST
Geen fotografen ontwijken achter de klimmers 	De klimmers ontwijken achter de fotografen 	NEUTRAL	contradiction	TEST
Geen motorrijders borstelen naast de soldaten 	De soldaten borstelen naast de motorrijders 	NEUTRAL	contradiction	TEST
Geen jongens telefoneren voor de mimespelers 	De mimespelers telefoneren voor de jongens 	NEUTRAL	contradiction	TEST
Geen jongens knuffelen achter de dochters 	De dochters knuffelen achter de jongens 	NEUTRAL	contradiction	TEST
Geen jongens knuffelen naast de mimespelers 	De mimespelers knuffelen naast de jongens 	NEUTRAL	contradiction	TEST
Geen mannen werken achter de vrouwen 	De vrouwen werken achter de mannen 	NEUTRAL	contradiction	TEST
Geen jongvolwassenen studeren achter de soldaten 	De soldaten studeren achter de jongvolwassenen 	NEUTRAL	contradiction	TEST
Geen fotografen snuffelen voor de jongens 	De jongens snuffelen voor de fotografen 	NEUTRAL	contradiction	TEST
Geen soldaten dragen dichtbij de fotografen 	De fotografen dragen dichtbij de soldaten 	NEUTRAL	contradiction	TEST
Geen studenten trouwen achter de spelers 	De spelers trouwen achter de studenten 	NEUTRAL	contradiction	TRAIN
Geen soldaten werken naast de mimespelers 	De mimespelers werken naast de soldaten 	NEUTRAL	contradiction	TEST
Geen motorrijders verpletteren voor de soldaten 	De soldaten verpletteren voor de motorrijders 	NEUTRAL	contradiction	TEST
Geen dochters voeren voor de vrouwen 	De vrouwen voeren voor de dochters 	NEUTRAL	contradiction	TEST
Geen leerlingen praten naast de jongvolwassenen 	De jongvolwassenen praten naast de leerlingen 	NEUTRAL	contradiction	TEST
Geen vrouwen verlaten dichtbij de motorrijders 	De motorrijders verlaten dichtbij de vrouwen 	NEUTRAL	contradiction	TEST
Geen studenten redden naast de vrouwen 	De vrouwen redden naast de studenten 	NEUTRAL	contradiction	TEST
Geen hardlopers snuffelen achter de jongens 	De jongens snuffelen achter de hardlopers 	NEUTRAL	contradiction	TEST
Geen fotografen vangen naast de soldaten 	De soldaten vangen naast de fotografen 	NEUTRAL	contradiction	TRAIN
Geen soldaten trekken achter de fietsers 	De fietsers trekken achter de soldaten 	NEUTRAL	contradiction	TEST
Geen motorrijders werken dichtbij de jongens 	De jongens werken dichtbij de motorrijders 	NEUTRAL	contradiction	TRAIL
Geen mimespelers snuffelen dichtbij de soldaten 	De soldaten snuffelen dichtbij de mimespelers 	NEUTRAL	contradiction	TEST
Geen mannen voeren dichtbij de jongvolwassenen 	De jongvolwassenen voeren dichtbij de mannen 	NEUTRAL	contradiction	TEST
Geen boa's gooien voor de spelers 	De spelers gooien voor de boa's 	NEUTRAL	contradiction	TEST
Geen jongvolwassenen borstelen naast de boa's 	De boa's borstelen naast de jongvolwassenen 	NEUTRAL	contradiction	TEST
Geen studenten worstelen naast de mannen 	De mannen worstelen naast de studenten 	NEUTRAL	contradiction	TRAIL
Geen spelers trekken dichtbij de mannen 	De mannen trekken dichtbij de spelers 	NEUTRAL	contradiction	TRAIN
Geen dochters lezen voor de jongvolwassenen 	De jongvolwassenen lezen voor de dochters 	NEUTRAL	contradiction	TEST
Geen motorrijders vangen naast de leerlingen 	De leerlingen vangen naast de motorrijders 	NEUTRAL	contradiction	TRAIL
Geen dochters verlaten dichtbij de mimespelers 	De mimespelers verlaten dichtbij de dochters 	NEUTRAL	contradiction	TEST
Geen soldaten voeren dichtbij de leerlingen 	De leerlingen voeren dichtbij de soldaten 	NEUTRAL	contradiction	TEST
Geen vrouwen ontwijken naast de fotografen 	De fotografen ontwijken naast de vrouwen 	NEUTRAL	contradiction	TEST
Geen klimmers zwemmen dichtbij de fietsers 	De fietsers zwemmen dichtbij de klimmers 	NEUTRAL	contradiction	TRAIL
Geen mimespelers snuffelen voor de spelers 	De spelers snuffelen voor de mimespelers 	NEUTRAL	contradiction	TEST
Geen fietsers voeren dichtbij de spelers 	De spelers voeren dichtbij de fietsers 	NEUTRAL	contradiction	TEST
Geen soldaten werken dichtbij de klimmers 	De klimmers werken dichtbij de soldaten 	NEUTRAL	contradiction	TRAIN
Geen mannen knuffelen achter de boa's 	De boa's knuffelen achter de mannen 	NEUTRAL	contradiction	TEST
Geen leerlingen schoppen achter de studenten 	De studenten schoppen achter de leerlingen 	NEUTRAL	contradiction	TEST
Geen mimespelers borstelen naast de klimmers 	De klimmers borstelen naast de mimespelers 	NEUTRAL	contradiction	TRAIN
Geen klimmers verpletteren naast de dochters 	De dochters verpletteren naast de klimmers 	NEUTRAL	contradiction	TEST
Geen mimespelers knuffelen voor de jongvolwassenen 	De jongvolwassenen knuffelen voor de mimespelers 	NEUTRAL	contradiction	TEST
Geen hardlopers trouwen naast de jongvolwassenen 	De jongvolwassenen trouwen naast de hardlopers 	NEUTRAL	contradiction	TEST
Geen soldaten vangen naast de fotografen 	De fotografen vangen naast de soldaten 	NEUTRAL	contradiction	TEST
Geen fotografen verlaten dichtbij de motorrijders 	De motorrijders verlaten dichtbij de fotografen 	NEUTRAL	contradiction	TEST
Geen fotografen redden dichtbij de boa's 	De boa's redden dichtbij de fotografen 	NEUTRAL	contradiction	TEST
Geen studenten voeren achter de mimespelers 	De mimespelers voeren achter de studenten 	NEUTRAL	contradiction	TEST
Geen jongens zagen naast de dochters 	De dochters zagen naast de jongens 	NEUTRAL	contradiction	TEST
Geen leerlingen zagen dichtbij de boa's 	De boa's zagen dichtbij de leerlingen 	NEUTRAL	contradiction	TRAIN
Geen jongvolwassenen lezen dichtbij de mimespelers 	De mimespelers lezen dichtbij de jongvolwassenen 	NEUTRAL	contradiction	TEST
Geen hardlopers zwemmen voor de mimespelers 	De mimespelers zwemmen voor de hardlopers 	NEUTRAL	contradiction	TEST
Geen klimmers verpletteren naast de motorrijders 	De motorrijders verpletteren naast de klimmers 	NEUTRAL	contradiction	TEST
Geen fotografen redden achter de studenten 	De studenten redden achter de fotografen 	NEUTRAL	contradiction	TEST
Geen mannen zwemmen voor de fietsers 	De fietsers zwemmen voor de mannen 	NEUTRAL	contradiction	TEST
Geen jongvolwassenen ontwijken naast de mimespelers 	De mimespelers ontwijken naast de jongvolwassenen 	NEUTRAL	contradiction	TEST
Geen hardlopers borstelen dichtbij de mannen 	De mannen borstelen dichtbij de hardlopers 	NEUTRAL	contradiction	TEST
Geen fotografen dragen voor de mimespelers 	De mimespelers dragen voor de fotografen 	NEUTRAL	contradiction	TEST
Geen fietsers duelleren naast de studenten 	De studenten duelleren naast de fietsers 	NEUTRAL	contradiction	TRAIN
Geen soldaten ontwijken voor de dochters 	De dochters ontwijken voor de soldaten 	NEUTRAL	contradiction	TRAIN
Geen fietsers worstelen dichtbij de klimmers 	De klimmers worstelen dichtbij de fietsers 	NEUTRAL	contradiction	TEST
Geen jongvolwassenen gooien voor de leerlingen 	De leerlingen gooien voor de jongvolwassenen 	NEUTRAL	contradiction	TEST
Geen mannen duelleren achter de studenten 	De studenten duelleren achter de mannen 	NEUTRAL	contradiction	TEST
Geen mimespelers verpletteren dichtbij de klimmers 	De klimmers verpletteren dichtbij de mimespelers 	NEUTRAL	contradiction	TRAIL
Geen soldaten gooien voor de fietsers 	De fietsers gooien voor de soldaten 	NEUTRAL	contradiction	TRAIL
Geen soldaten snuffelen voor de vrouwen 	De vrouwen snuffelen voor de soldaten 	NEUTRAL	contradiction	TEST
Geen fietsers leren voor de vrouwen 	De vrouwen leren voor de fietsers 	NEUTRAL	contradiction	TEST
Geen fotografen knuffelen naast de studenten 	De studenten knuffelen naast de fotografen 	NEUTRAL	contradiction	TEST
Geen mannen knuffelen voor de fotografen 	De fotografen knuffelen voor de mannen 	NEUTRAL	contradiction	TEST
Geen fotografen worstelen dichtbij de studenten 	De studenten worstelen dichtbij de fotografen 	NEUTRAL	contradiction	TEST
Geen hardlopers knuffelen achter de studenten 	De studenten knuffelen achter de hardlopers 	NEUTRAL	contradiction	TEST
Geen vrouwen trekken voor de jongvolwassenen 	De jongvolwassenen trekken voor de vrouwen 	NEUTRAL	contradiction	TEST
Geen vrouwen winnen dichtbij de boa's 	De boa's winnen dichtbij de vrouwen 	NEUTRAL	contradiction	TEST
Geen studenten ontwijken naast de motorrijders 	De motorrijders ontwijken naast de studenten 	NEUTRAL	contradiction	TEST
Geen mannen worstelen naast de dochters 	De dochters worstelen naast de mannen 	NEUTRAL	contradiction	TEST
Geen motorrijders trekken dichtbij de vrouwen 	De vrouwen trekken dichtbij de motorrijders 	NEUTRAL	contradiction	TEST
Geen spelers voeren achter de klimmers 	De klimmers voeren achter de spelers 	NEUTRAL	contradiction	TEST
